Unnamed: 0,Start,End,Speaker,Text
102,0:24:15,0:24:24,SPEAKER 1," If you are talking about the curve that we're looking at this morning,  the five year, two year is inverted.  Two year ten is not right now,  but the 10 years below one point four  percent this morning.  And think of the 10 year at one point four percent.  That means you're paying 70 times earnings for for something that can't increase its earnings for 10 years.  Now, somebody somebody can do with a stock and said, you know, we this is a terrific  stock.  It sells at 70 times earnings.  The earnings can't go up for 10 years.  You'd say, well, explain that to me again.  Right.  But  no, the interest that we've never seen a situation like this in the world.  Literally.  I mean, you can go back and read Keynes and you can read Adam Smith and you can read,  you know, all the great ones.  And they don't talk about negative interest rate.  It never cost their might.  How much supply and demand all these marginal costs.  But brilliant economists never really anticipated that you would have negative.  And you've got 13 trillion or something like that worldwide at negative interest rates.  And we don't know what that means.  And we've got a lot of people who speculate what it means.  But 10 years from now or 15 years from now,  we'll look back and say,  well, it's obvious what we have under that.  And we'll we'll see it.  But it is not a normal situation.  And it's it's well,  interest rates are the basis of all value.  I mean, you know, that if if you knew interest rates were going to be zero for a hundred years,  you would think 1 percent was a great rate of return.  But you also would know if you bought something was yielding 1 percent or  that was what it paid and rates went to 8 percent,  you'd lose practically all your capital.  So it's an enormous factor.  And we don't know the answer.  Central banks don't know the answer.  All we know is that it it's been useful in stimulating things and particularly asset prices now for 10 years.  And what we thought was temporary in 2008  and nine in the way of monetary policy to stimulate,  we've just put our foot on the gas even further.  The whole world has.  You made a point in the letter of saying that you don't know how long these interest rates will last.  You and Charlie never try and figure these things out.  But we did have St.  Louis Fed President Jim Bullard on the program last week,  and he said that he expects to see these low interest rates for a long time to come.  That does raise a lot of questions if that happens,  about what this means for the stock market,  what that means for banks,  what that means for insurance companies,  which you touched on in the letter,  too. "
109,0:26:46,0:26:50,BUFFETT," It's bad for insurance companies,  but it's good for stocks. "
110,0:26:51,0:26:57,SPEAKER 1," Bad for insurance companies.  And what happens to the insurance companies as a result?  Are they getting more?  Well, some insurance companies kind of put them at risk. "
111,0:26:57,0:27:19,BUFFETT," The ones that really get hurt are either life or annuity companies that have promised returns.  The property casualty business doesn't promise returns.  It still holds money,  so it hurts them.  But if you promise somebody an annuity that's going to pay them 3 or 4 percent,  and now you find that you're reinvesting your money at 1 percent or something,  you're going to disappear. "
112,0:27:20,0:27:25,SPEAKER 1," Are insurance companies being forced to make riskier and riskier bets?  Well,  they shouldn't.  I mean, the answer, if you need to get 3 percent and you're only getting 1 percent,  the answer is to quit giving 3 percent.  It's not to try and get the 1 up to 3 and do more dangerous things.  You should always adapt your  consumption to your income.  You shouldn't try and adjust your income to your consumption.  That's a basic principle for individuals,  businesses and everything else.  And reaching for yield is really stupid,  but it's very human.  I mean, I understand it.  And people say, well, I've saved all this money all my life and now I can only get 1 percent.  What do I do?  The answer is you learn to live on 1 percent, unfortunately.  And you don't go and listen to some salesman come along and tell you I've got some magic way to get you 5 percent."
116,0:28:18,0:28:24,BUFFETT," Do you think, though, that that's what should be happening?  Do you think that there is more risk taking place in the insurance market?  And you see that in what they call leveraged loans and weaker covenants.  So, no, people are reaching for yield.  There's no question about that.  And that's stupid.  And it has consequences over time.  But it's very human."
118,0:28:40,0:28:43,SPEAKER 1, Consequences that could have a big market impact?
119,0:28:43,0:28:44,BUFFETT, Depends how far it goes.
120,0:28:45,0:28:46,SPEAKER 1, Yeah.  Yeah.
121,0:28:46,0:29:01,BUFFETT," It's the it's  it's something that the things that get built in slowly,  people going crazy and tech companies in the late 1990s,  it can take a lot longer than you think.  But eventually you get to midnight and everything turns to pumpkins and mice. "
122,0:29:02,0:29:18,SPEAKER 1," You know, that's the downside of low interest rates, pensions,  savers,  anybody who gets left in a raw position of that on the alternate side of things.  If rates were to rise rapidly or not,  maybe not even so rapidly,  what does that mean for the federal debt? "
123,0:29:18,0:29:21,BUFFETT," Well, it depends on the average maturity of the debt. "
124,0:29:21,0:29:22,SPEAKER 1," But  our maturities are fairly short.  They've got a lengthened level.  But but if you take  20 trillion and and you're borrowing at 2 percent,  you've got you got 400.  What have you got to do?  Two trillion to 200 billion.  You have 40 billion of the expense.  But if it goes to 5 percent,  you got 100 billion of expense.  I mean, at five percent, you got you got a trillion of expense.  I'm sorry.  It's. "
127,0:29:54,0:30:32,BUFFETT," We are benefiting enormously in our national budget by the fact that interest rates are very low.  And so interest costs has not gone up as you would have anticipated if you were looking at the scene 20 or 30 years ago with the increase in national debt.  But, you know,  Austria issued 100 year bonds,  you know, at  2 percent or thereabouts,  and then they've gone way, way up.  And I think maybe the 1.1 or something like that.  I don't know where they are now.  But it's great if you're a borrower to have to  keep money.  I mean, everybody should refinance their mortgage. "
128,0:30:32,0:30:38,SPEAKER 1," Is that an argument for the Federal Reserve or I'm sorry,  for the Treasury Department here issuing longer,  longer notes? "
130,0:30:56,0:30:56,BUFFETT,"Well, yeah, but I would have said the same thing five or six years ago and been wrong.  But if if we.  Under the president's slope,  it still would cost more to lengthen it out.  But you're lengthening it out at very,  very low rates. And it would be what I would be  inclined to do if I were secretary treasurer.  But I'd have missed a lot of bets in the last 10 years to Warren again for people who are just like,  sure, they're tuning in and they  want to know what you think about this sell off this morning to see the Dow down 700,  800 points in the morning.  What's your reaction when you see something like that?  Well, my reaction is that I like to buy stocks.  So I I don't wish ill on anybody else,  but I like that if they want to sell them to be  cheaper, I prefer it.  So that's a  roughly a 3 percent decline or thereabouts.  I don't know how many 3 percent declines I've had in my lifetime,  but there have been a lot of them.  And I I  can't think of one that you shouldn't have bought on, you know, basically.  That doesn't mean stocks are going to go up or down next week or next month or next year.  But but if there's something if you like to own American businesses,  you're getting a chance to buy a 3 percent cheaper.  I don't consider that a lot cheaper.  I mean, but but but how can it be bad news unless you have to sell stocks?  Now, if you have to sell them for some reason,  it's you're worse off  if you don't have to sell them.  I mean, somebody can come around and offer you a quote on your house today and it could be two percent less than they offered you yesterday.  But if you like the house,  it doesn't make any difference. "
134,0:32:14,0:32:17,SPEAKER 1, Does that mean Berkshire will be buying stocks today?
135,0:32:17,0:32:23,BUFFETT," Well, we certainly won't be selling.  And now we may we could easily be buying something.  Sure. "
136,0:32:23,0:32:45,SPEAKER 1," Let's talk a little bit about a Barron's cover story that was just out last week.  The good news on the cover story is they think the Berkshire is worth more than it's selling for right now.  The bad news is they said they think that's in part because there's it's got a big conglomerate discount and they think if you weren't running it,  that it might get broken up.  What's your response to that line of logic?  Well,  conglomerates have had a bad name and for good reason over the years.  I mean, I closed my partnership up  at the end of the 1960s and there was a run,  a very abusive run in conglomerates where they played with numbers and they had dirty pooling,  as they call it,  of accounting.  They wanted to have their stocks up and put out stories to do it so they could issue more stock.  They were kind of chain letter arrangements.  There have been a lot of bad conglomerates and probably disproportionately so compared to the sort of honest to God single industry businesses over time.  We don't think we're that kind of a conglomerate.  We've certainly never wanted to issue shares.  We've never touted shares.  It's done for business reasons in our case.  The interesting thing is, of course,  is the American public has been going wild in their enthusiasm for conglomerates  in the last few years,  if you think about it.  I mean, it's been an  incredibly popular area,  but they call them index funds.  You buy 500 businesses.  I'm trying to figure out what you're talking about. "
141,0:33:49,0:33:52,BUFFETT," Yeah, well, 500 businesses all put together.  I mean, that's the ultimate conglomerate,  isn't it?  I mean, I've recommended index funds to lots of people,  and when they do it,  they're buying into 500 businesses and they're going to have 500 businesses a year from now and five years from now.  And they think that group of businesses will do very well.  And I think our group of businesses will do OK. "
144,0:34:10,0:34:22,SPEAKER 1," The difference with an S&P 500 index is it's 500 different companies run by 500 different management teams who are all focused on their business,  maybe not having a centralized operation that is loosely running all of those. "
145,0:34:22,0:35:49,BUFFETT," Well, we've got our businesses are run by separate people.  I mean, I we just finished Valentine's Day and I did not I did not select what pieces went in the boxes.  And it's been  probably been 10 years at least  since I've been to a C's cannery factory.  Now, I get the figures every month,  but I don't have I don't know how to make chocolate.  I think it was a short I don't pick out the new locations.  We we have managers for our businesses that are very much like the managers we have for the businesses that we own pieces up like American Express or Coca-Cola.  And there's a couple of things we can do.  We can determine the dividend policy of our subsidiaries.  We can control their capital allocation to some extent,  but on most capital allocation, whether to  buy new equipment or anything like that,  they make the decision.  The BNSF Railroad is going to spend three and a half billion dollars on.  I don't I don't approve a single dollar of that in terms of capital expenditures.  They they know what they need to do or they need to lay track how many locomotives they whatever it may be.  So our managers are I would say in a sense,  they're almost more independent than the managers of the S&P 500 who go around and report to Wall Street week after week.  They go to investor relations meeting and they're always explaining what they're doing and trying to get the approval of the analysts and all that sort of thing.  And and we just tell our managers to do what makes sense. "
146,0:35:49,0:35:59,SPEAKER 1," OK, outside of the idea of them not having to report to individual shareholders or the investment community,  what's the advantage of having you there?  The capital allocation part of it? "
147,0:35:59,0:36:56,BUFFETT," Well, we can yeah, we can move capital within.  If you move capital from one stock to another and you had a game,  I mean, you pay a tax and maybe a dividend tax.  So if you sell,  but there's a there's  a lot of taxes incurred in moving from one business to another,  either at the corporate level in some cases,  but certainly at the individual level.  And we can move capital.  Well, just take C's Candy again.  We bought that in 1972.  We've moved  several billion dollars from the candy business to other types of businesses.  And we'd love it if we could use it on the candy business,  but it just isn't that sort of business.  And in addition to that,  we free up our managers from all dealing with Wall Street,  dealing with baggers, dealing with all kinds of things that are what I regard as less productive use of their time. "
