Unnamed: 0,Start,End,Speaker,Text
21,0:06:45,0:06:48,BUFFETT," Well, if you have to closely follow a company,  you shouldn't own it. "
22,0:06:48,0:06:48,SPEAKER 2," Really?   No.  I mean, if you buy a business,  if you buy a farm,  you know, you go up and look,  you know, every couple of weeks to see how far the corn is up.  And, you know, you worry too much about whether somebody says this is going to be a year of low prices because  exports are being affected or anything like that.  You know,  you buy a farm and you hold  it for, I've got one farm that I bought in the 1980s and my son runs it.  But  I've been there once,  you know, I mean, it doesn't grow faster if I go and stare at it.  You know, I can't cheer for it, you know,  more effort, more effort or something like that.  And I know there's going to be some years when prices are going to be good and some when the prices  aren't going to be good.  I know there's years when yields will be better than others.  But it's all about the farm.  And if  it just doesn't,  I don't care about economic predictions on  or anything of the sort.  I do care that over,  over the years it's well tended to in terms  of rotating crops.  And I hope yields get better,  which they generally have.  In fact,  that farm a hundred years ago would have probably produced  30 bushels,  maybe 35 bushels of corn per acre.  And  now in a good year,  you know, it'd be 200.  I mean,  we've really made progress in this country.  That's one reason commodity prices go back a couple hundred years.  They've moved so little is because we've just gotten better and better at  whether it's  cotton or whether it's corn or soybeans or all kinds of things.  And you and I have benefited from that.  And so Apple is kind of like a farm."
25,0:08:19,0:08:34,BUFFETT," Well, it's a long term investment.  And if you owned the best auto dealership in town,  the best brand and had somebody good running it,  you wouldn't drop by every day and say,  you know, how many people have come in today? "
26,0:08:35,0:08:35,SPEAKER 2," Or,  you know, I think interest rates are going up a little.  Maybe we'll slow down our sales or anything.  You  buy it knowing there's 365 days a year and you're going to own it for 20 years.  So that's 7300 days.  And, you know, they're going to things are going to be different from day to day and year to year.  You shouldn't buy it at the day to day stuff is important.  Let's switch over to talk about buybacks,  which is another hot topic these days.  And and you did a fair amount.  If you look in the annual report,  you can see that between December 13th and 24th,  it looks like you guys bought back about two hundred and thirty three million dollars worth of Berkshire,  which was right near that particular stock market bottom.  How did you know that?  What was going through your mind? "
29,0:09:21,0:09:58,BUFFETT," If I knew it,  I'd have bought a lot more than 200.  Now, that's not a big purchase for us, actually.  And now we will buy Berkshire when we have lots of excess cash.  All the needs of the business are taken care of.  We spent 14 billion dollars on property,  plant and equipment last year,  way more than depreciation.  So we take care of the needs of the business.  Then we have excess cash.  And if we find invest,  we'd love to do is find other businesses to buy.  But if our stock,  if I think the stock and my partner,  Charlie Munger, think the stock is selling  below intrinsic business value,  we will buy in stock. "
30,0:09:58,0:10:00,SPEAKER 2, So it obviously was at that point.
31,0:10:01,0:10:31,BUFFETT," Well,  we thought so.  Yeah.  Yeah.  But but,  you know, what's really intriguing is when it goes down a lot.  I mean, when when you're buying dollar bills for for 60 or 70 cents,  which periodically you get a chance to do in stocks,  then, you know, assuming you've got the cash,  you don't want to ever get so that that some some surprise could really take you out in some way.  But if we've got excess cash,  we'll buy as fast as we can. "
32,0:10:31,0:10:35,SPEAKER 2," But at that point,  it would be more like a 2009 rather than just December. "
33,0:10:36,0:10:50,BUFFETT," Yeah, yeah, exactly.  But it's,  you know, if you and I own a McDonald's franchise together and it's worth a million dollars and you own 50 percent of it,  you come to me and you say I'll sell out for four hundred thousand,  you know, I'll buy out. "
34,0:10:50,0:10:55,SPEAKER 2," You say you want to buy mine.  I'd be wary of that.  But yeah, for just that reason, you should be.  Yeah. "
35,0:10:56,0:10:59,BUFFETT," But you want six hundred thousand dollars,  you'll say come back tomorrow. "
36,0:10:59,0:11:22,SPEAKER 2," So just continuing about buybacks,  Senator Schumer's and Sanders want the government to weigh in to sort of legislate when companies can do buybacks.  And then also there was a report recently about executives doing insider trading, it appears,  around the times of buyback.  So are buybacks a kind of a problem?  Well,  you'll have some people that misbehave and respect them,  any activity.  I mean, so it really wouldn't have much to do with buybacks.  I think buybacks,  the degree to which they've been part of nefarious activity,  and I've observed them for a lot of years,  are very close to zero."
38,0:11:39,0:11:39,BUFFETT," But  that just may be that there aren't enough opportunities.  But  that article did not,  I didn't follow the conclusion on it.  I mean, you're distributing money to shareholders, essentially.  You can do it by dividends.  And presumably American business should distribute money  to its owners occasionally.  And we do it through buybacks.  We've done some.  And we don't do it through dividends.  But most companies do it through having a dividend policy.  And then if they have money beyond the needs of the business,  then I think if their stock is underpriced,  then it makes nothing but sense. "
42,0:12:18,0:12:23,SPEAKER 2, Should the government tell companies  when to do it or at least mandate conditions where they can?
43,0:12:24,0:13:22,BUFFETT," Well, they do restrict you a little in terms  of if you're some general rule of the SEC,  if you're having some kind of,  this isn't quite the right word,  but manipulative activity or anything like that in the stock.  But no,  I don't think the government should decide your dividend policy.  I don't even think they  should direct your capital investments.  They can make it enticing to make certain kinds of  capital investments, which they do with  renewable energy, for example.  I mean, the government has interest in fostering certain developments in this country over time.  And they do,  there used to be a special oil depletion allowance,  you know, 50 years ago and so on.  That was more politics than it was governmental policy.  But certainly renewables are a prime example of that.  But the idea of directing whether you are entitled to return cash to  shareholders and the manner in which you do it,  I don't think really makes a lot of sense. "
44,0:13:23,0:13:33,SPEAKER 2," The 2020 election is going to be upon us before we know it.  And I know that you had some nice things to say about Mike Bloomberg,  but it appears he is not going to be running now. "
45,0:13:33,0:13:35,BUFFETT," Yeah, it's hard to win with just a billionaire vote. "
46,0:13:37,0:13:39,SPEAKER 2, You would have your vote and a few others.  That's funny.
47,0:13:40,0:13:44,BUFFETT, But I admire him enormously.  I wish he had run.  I want to be very clear on that.
48,0:13:45,0:13:57,SPEAKER 2," President Trump was a business executive.  So two questions.  Is a business executive the right kind of person to be president?  And what characteristics do you look for for a president that you would support?  Well,  I think  a business executive can be the right person.  But I don't think that because they're a business executive that you give them extra points.  And number one, I want a president that wakes up every morning and realizes that the greatest threat to a country,  which has got all kinds of things going for it,  are weapons of mass destruction.  And that we live in a world where people,  organizations,  and occasionally countries could have people that would like to wipe out a large percentage of the American people or maybe other  countries as well.  And that you now have capabilities,  which I always thought,  until recently, I classified as nuclear, chemical, and biological.  But I think you have to add cyber now.  If  you have some evil genius someplace that,  for  crazy reasons, just like  happened with anthrax back,  who knows what motivates somebody that starts sending  anthrax out in their letters.  And if you have somebody that thinks it'd be great to send a false alarm to the Russians and  to the US that the other side was launching or something of the sort,  it's a very, very dangerous world.  It's a wonderful world,  but it has dangers now that started in August  of 1945 and when Einstein said,  you know, this changes everything in the world except  how men think.  And  so I want a president that has that same filter that  all of these other things are important,  but  protecting the country and reducing the chance of successful use of weapons of mass destruction against us  is the number one job.  And I think  most of the presidents,  I've talked to a couple of them about it over the years, and I  really think that they do realize that they may get lost in the events of every day as they go along.  And then beyond that,  I want a president that  has two objectives with the economy.  One is to make sure that this marvelous goose we have keeps laying more golden eggs.  And then I want a president that also feels that if GDP is $60 ,000 per capita in the United States,  that nobody should get left behind.  We've got a market system that works marvelously in turning out more goods and services, better ones  year after year, done it all through my life.  Would you ever talk to a candidate and say, hey,  what do you think about these three things? "
51,0:16:32,0:16:53,BUFFETT," Well,  they'll tell me what I want to hear.  So I want to hear what they tell people who disagree with them on the subject.  I always like to ask a candidate.  They usually finesse me somewhere.  But I say, what are you for that the majority of your followers are against?  You know, I know you really believe in that.  And that's really the test. "
52,0:16:53,0:16:53,SPEAKER 2, But
53,0:16:54,0:16:59,BUFFETT," I'm not sure that except under some kind of sodium  peddle or something, you're going to get a great answer. "
54,0:16:59,0:17:04,SPEAKER 2, That's great.  But that's the question you ask the presidential candidates  or presidents that you would speak to.
55,0:17:04,0:17:31,BUFFETT," If  I really want to get,  and that's why Bernie Sanders was  so successful.  I mean, 90% of the people who voted for Bernie Sanders  had probably not heard of him two years earlier.  But they felt, they knew exactly what they wanted.  They felt they knew exactly what he would do.  I mean, they felt he was authentic.  And if you asked him what he was for that most people might be against,  he would tell you. "
56,0:17:32,0:17:38,SPEAKER 2, A few questions about Kraft Heinz.  Was that a mistake?
57,0:17:38,0:19:13,BUFFETT," Well, we'll find out over time.  But we did pay too much,  in my view, for Kraft.  We didn't pay too much for Heinz.  So when we started out,  it was originally a non-public  partnership between us.  But we did pay too much, in my view,  for Kraft.  And there's not much you can do about things if you pay too much.  And secondly,  there's always been a struggle between the retailer and brands.  I mean, if I've got a terribly weak brand  and I want to get into Walmart,  I'm not going to be able to do it.  I mean,  that's all for all kinds of crazy concessions.  And I want to be in Walmart if I have some sort of  consumer packaged goods.  The negotiation is way different if you have something essential versus non-essential.  Ten years ago, Costco tried to get rid of Coca-Cola.  Costco's got terrific loyalty among customers.  And their own Kirkland brand is a $39 billion brand now.  And it moved from category to category.  And they only started in 1992.  So they know brands.  But in the end,  they put Coca-Cola back in.  If it had been Royal Crown Cola,  they wouldn't have had  to put it back in.  So there's always that struggle between the brands.  And there always will be.  But the retailer's net,  it has been moving in their direction,  particularly,  I think,  because of the Amazon revolution. "
58,0:19:14,0:19:15,SPEAKER 2, First Walmart and then...
59,0:19:15,0:19:16,BUFFETT," Oh, yeah, Walmart. "
60,0:19:16,0:19:17,SPEAKER 2," Walmart,  yeah. "
61,0:19:18,0:19:49,BUFFETT," But it's been accentuated.  I think  we have a new retailing environment now.  I mean, it is like it goes from night to day,  but it moves somewhat.  And brands that people have spent  billions of dollars developing  and sponsoring TV shows or sponsoring radio shows in the old days.  Campbell's Soup was always on there with Jack Benny or something,  you know, when I was a kid.  And it was big.  And it built brands.  And people obviously like the product, too. "
62,0:19:50,0:19:50,SPEAKER 2," But  people are more willing to change.  And it's harder.  It's a  somewhat different world.  It is night and day.  I mean, you are very unlikely to keep changing brands every day.  But it really surprised me that Gillette lost position.  Men don't like to experiment much.  Women are better at experimenting.  But  if a kid,  when you were a kid,  Gillette Cavalcade of Sports was your pal and brought  you the Rose Bowl and the World Series and all that sort of thing,  you didn't...  You'd just shave with Gillette the rest of your life.  And you still do to a great degree.  But it's not exactly the same as it was  even five years ago or so when we bought Kraft.  You mentioned Amazon as a game changer.  And I have to ask you,  you haven't bought the stock.  You're an admirer of Jeff Bezos.  A listing of the richest people in America came out.  He's number one.  I think your friend Bill Gates is number two.  You're number three.  So you can see what he's done in myriad ways.  And of course, the question is,  how come you haven't bought Amazon?  Is there still time to buy?  Would you still buy? "
67,0:21:01,0:21:59,BUFFETT," I always admired Jeff.  I mean, I met him 20 years ago or so.  And  I thought he was something special.  But I didn't realize you could go from books to what's happened there.  I mean, he had a vision and executed it in an incredible way.  Something that...  But there's a lot of games I miss.  I would have missed Microsoft even if I'd gotten to know Bill earlier.  Those just aren't my games.  I don't worry about the things I miss that are outside my circle of competence  of evaluating.  I have missed things that are within my circle.  And that's a terrible mistake.  Those are my biggest mistakes.  You haven't seen them.  But I don't...  It's not a mistake because I miss Netscape or something like that at all.  I would say that maybe 5% of the companies or 10% of the companies at most are within an area of my circle of competence.  There's something I should be able to understand. "
68,0:22:01,0:22:16,SPEAKER 2," All right.  Well, let me switch gears then and ask you about leverage a little bit.  And  corporate debt people are concerned about.  People are concerned about federal debt at $22 trillion.  Should we reduce,  let's just say, the federal debt?  And how would we do that? "
69,0:22:16,0:22:59,BUFFETT," Well,  if you're running a deficit getting close to 5%  when things are really good,  that's a new world.  And neither the Republicans or Democrats are particularly concerned about it.  And we're not having a lot of inflation.  That wasn't supposed to happen.  But it's happening.  That's why I say you don't really...  You don't want to get hung up on  trying to make an economic analysis because  nobody's any good at...  You don't get rich doing that.  If you look at...  I mentioned that Forbes list.  If you get on the list,  the number of people who have  done that by economic analysis,  I think, are just about as old as Sean there. "
70,0:23:00,0:23:11,SPEAKER 2," Okay.  Fair enough.  Income inequality, wealth inequality, you've talked about the earned income tax credit.  Is there more to it than that?  Should we adjust tax policy?  It seems to be going the other way right now. "
71,0:23:11,0:25:42,BUFFETT," Well, it is going the other way.  But I think the earned income tax credit  is the best way to put money in the pockets of people that  don't fit well into the market system,  but that are perfectly decent citizens and that  have made a good bit of the success somebody like I've had with Berkshire or something  possible.  It wouldn't have happened without the America we have.  And if you go back 200  years  and we're all working on...  80% of us are working on farms.  The person that's the best at that,  working on that farm,  whatever it may be,  is worth maybe twice the ones that's the worst.  I mean, that's the difference between super talent and no talent in the farm economy,  picking cotton or whatever it may be.  Now,  if you're the best  middleweight fighter in the world,  you may get 20 or 30 million dollars.  And if you are just a good citizen,  raise nice kids,  help in the neighborhood and everything else,  but you don't have market-related skills,  you'd be good on that farm still.  And you would be earning something  comparable to most of the people around you.  But you don't have something now that as it gets more  and more specialized, and it's going to continue to get more specialized,  you want two things for that person.  You want them to have a decent life.  I mean, they live in a country with  60,000 of GDP per person.  You want them to have a decent life, and they can.  I also think you want them to have a feeling of accomplishment.  So you want them to have a job,  assuming that they're not handicapped in some way.  You want them to have a job.  But the minimum wage would be one way,  say, well, we'll make sure that they have enough money in their pocket.  But  that's got a lot of effects in disturbing the market system.  They just need more cash.  They don't need a higher wage,  they need more cash in their pocket.  And the government at  a relatively low cost  can provide a decent living for anybody that's working 40 hours  a week and has a couple of children.  And  we've gone in that direction,  and it's sort of bipartisan.  I mean, I find both Republicans and Democrats for it.  I think it would be better not to  have one annual payment,  you know, that they get it monthly.  And I think there's various  things you could do.  But you want it.  You want them to feel part of the system,  and you want to get them,  have them get as  more and more of these golden eggs are laid,  you want them to get  a little more of their share. "
72,0:25:42,0:25:54,SPEAKER 2," I mean, if we don't do that and the Democrats win,  it's possible we get,  you know,  big taxes on wealthy people,  free college for all.  And those are bigger plans. "
73,0:25:54,0:26:47,BUFFETT," You want more money in the pockets of everybody that's willing to work  or is unable to work.  And we can do it.  A rich family would do that.  You know,  if I had six or seven kids and I  had some business I wanted to pass on,  you'd pick the most able person to run it,  because that's the market system to do that.  But you'd make sure that all seven of the family participated.  You'd give more to the one that didn't.  You might give more to the one that  kept producing the golden eggs.  You would.  But  you wouldn't just say to the one at the lowest end,  who might be the best kid of all in most respects, you know,  he's the one that shares with everybody  and does all kinds of things.  You wouldn't say to that  emperor that, you know, too bad, but that's just the way the market system works, you know.  Go have your spouse get a  job and look for housing someplace. "
74,0:26:48,0:26:57,SPEAKER 2," Right.  Why don't we do an update about the health care initiative,  which now the company has a name.  Yeah.  Haven.  Was that your idea?  No. "
75,0:26:58,0:28:55,BUFFETT," No.  Sometimes you...  No, I didn't worry about a name.  We could have gone on  as a no-name operation for 10 years as far as I'm concerned.  No,  that is...  We've got a wonderful partnership in the sense  that it's large and has  reasonable market muscle with more than a million employees  among the three of us.  We've got three CEOs that can make things get done in organizations that are so big that normally they wouldn't get very bureaucratic.  I mean,  if you try to do this with many big companies,  you'd have  legal weighing in and public relations weighing in.  We don't have any of that stuff.  They may have them in certain areas,  but I don't have to...  But Jamie isn't going to worry about doing that sort of thing.  And neither is Jeff.  So we've got a unity of commitment and an ability to execute on the commitment.  The only problem is you've got a $3.4 trillion industry,  which is as much as the federal government raises every year.  That basically feels pretty good about the system.  As we went around talking to people to find a leader for the group,  for example, everybody says  the system...  It turns out very good medicine,  but you can't go from 5% of GDP to 18 without really making you less competitive,  among other things in the world.  So everybody thought the system needed some adjustment,  just not their part of the system.  And that's very human.  I'd do the same thing,  I'm sure, if I was in the same place.  So there's an enormous resistance to change,  while a similar acknowledgement that change  will be needed.  And of course,  if the private sector doesn't supply that  over a period of time,  people will say, then  we give up, we've got to turn this over to government,  which will probably be even worse. "
76,0:28:56,0:29:00,SPEAKER 2," How often do you talk to Jamie and Jeff about it?  I know Todd Combs,  I think, is your point person. "
77,0:29:00,0:29:08,BUFFETT," Todd really does all the work at our...  If this works, give Todd 100% of the credit  from the Berkshire standpoint. "
78,0:29:08,0:29:12,SPEAKER 2, Does Haven have to buy companies to gain expertise?  What do you...
79,0:29:12,0:29:14,BUFFETT," No,  I don't think... "
80,0:29:14,0:29:15,SPEAKER 2," What is the plan?   The plan is to support  a very, very, very good thinker on this subject who is a practicing  physician and who commands the respect  of the medical community to,  in effect,  figure out some way so that we can  deliver even better care and have  people feel better about their  care too.  I mean, they have to perceive that they're receiving better care over time and  stop the march upward of cost relative to the country's output.  We've got this  incredible economic machine,  but we shouldn't  be spending 18%  when other countries are doing something  pretty comparable in terms of  doctors per capita, hospital beds per capita.  The very top stuff in medicine, I think, is  very much concentrated in this country, and that's great.  I want us to be the top leader,  but I just don't...  I think we're paying a price.  If we're paying seven extra points  of GDP,  that's 1.4 trillion a year.  Is the administration focusing...  By focusing on drug prices, is that  sort of a rabbit hole?  Is that missing the bigger picture?  Well, I don't... "
85,0:30:37,0:31:17,BUFFETT," I mean, they're trying.  Congress generally...  I mean, you talk to the average congressman.  They regard it as a problem,  and they see specific instances  of drug prices or something like that,  but it's a big problem to change.  I mean, the trouble is it intersects  in so many ways,  and that's why we've got Kewande heading it,  and we've got three bigger  size organizations backing him.  We're not trying to do it to make money.  I mean, that is not a goal that we end up with some business that  we make money off of. "
86,0:31:17,0:31:19,SPEAKER 2," Will he be talking to health insurers, for instance? "
87,0:31:20,0:31:39,BUFFETT," Well, he'll be talking to everybody,  but it is...  His game plan is not something we're  going to try and lay out because it's in his head to some degree.  I mean, obviously, we selected him by hearing and reading and so on what he's done,  but he'll learn as we go.  We will conduct certain experiments, or he will,  and try out a community where one of us has a lot of employees maybe,  and there's various ways to experiment. "
90,0:31:53,0:32:00,SPEAKER 2," Shifting gears,  where do you find things like that Abe Lincoln tail and leg quotes?  I mean, do you read Bartlett's book of quotations? "
91,0:32:00,0:32:07,BUFFETT," No, I don't read Bartlett's...  Probably 50 years ago,  I looked at a few Bartlett's quotations,  but I read a lot. "
92,0:32:07,0:32:10,SPEAKER 2, You just remember these things and apply them?
93,0:32:10,0:32:22,BUFFETT," Well, if you're 88 years old,  you ought to remember something.  You don't remember what  happened yesterday, but you remember the old stuff.  You've  got a lot of interesting quotations in your head. "
94,0:32:23,0:32:31,SPEAKER 2," You do, not like you do.  That's great.  Okay.  So one company you invested in was GE,  and you did well with that investment.  Yeah. "
95,0:32:32,0:33:00,BUFFETT," I was too early,  actually.  If you look back,  I was very active in the last half of  September and early October,  and then I wrote that article in later October.  I knew it was  going to get bad.  I wrote the article it was going to get bad,  but I didn't think the stock market  would react as much as it did between then and March.  So I had more or less used  up our powder well before the bottom was hit. "
96,0:33:01,0:33:13,SPEAKER 2," That's interesting.  How have you avoided not getting back into GE more recently?  I mean, I'm sure that they've reached out to you.  Everyone says, oh, why doesn't Warren Buffett  invest in GE and save it and take it to the promised land?  It's this great American company. "
97,0:33:14,0:33:17,BUFFETT," Well, actually, I think Larry actually is doing a good job. "
98,0:33:18,0:33:18,SPEAKER 2, Larry Kolb.
99,0:33:18,0:33:50,BUFFETT," Danaher.  Yeah, Larry Kolb at Danaher is  a good sale, and I think his priorities are straight,  and I think he's a very able guy,  and he's on the right track.  I'm a fan of GE's in the sense that  we're a big buyer from them.  We're a big seller to them.  I've known the managers.  Jack Welch is a very good friend of mine.  We don't agree on politics 100%,  but we have a lot  of fun together, and I love the guy.  So I've got a great desire for GE to do well.  It just hasn't looked that attractive to me. "
100,0:33:51,0:34:00,SPEAKER 2," Right.  You talked about the groves of trees  in the letters, shareholder.  One was the third grove,  which was sort of the in-between stakes. "
101,0:34:01,0:34:02,BUFFETT," Yeah, the equity interests. "
102,0:34:02,0:34:09,SPEAKER 2, Yeah.  Is it the case that those are sort of  not the healthiest grove of trees?  No.  And why would that be?
103,0:34:09,0:34:32,BUFFETT," No, those are the pilot flying Jaysbury.  No, they're companies that under GAAP accounting,  we have to record under an equity method.  We own more than 20%,  but we don't control them.  And so it's treated under GAAP accounting as a special category,  and it didn't fit well  in the other groves,  so I had to make it a separate grove by itself.  It's not that significant a grove. "
104,0:34:33,0:34:37,SPEAKER 2, You say that the sum of Berkshire has a greater valuation than the parts.
105,0:34:37,0:34:38,BUFFETT, That is true.
106,0:34:38,0:34:40,SPEAKER 2, Did you ever try to calculate that?  How much is that?
107,0:34:40,0:35:20,BUFFETT," Well, it depends on circumstances.  I mean, there's sometimes when the float from insurance  can be very valuable.  There's sometimes when the ability to use production tax credits,  we'll say, in the utility business,  but have them on our,  as part of our consolidated return helps.  But  that varies a lot.  But it is a plus.  And we can move capital.  Well, take a business like Seed's Candy,  which we bought 40-odd years ago.  It's a wonderful little business.  It throws off capital.  We've tried 50 different ways to expand geographically,  do all kinds of things.  It doesn't work.  And we'll try it again,  and it won't work. "
108,0:35:20,0:35:20,SPEAKER 2," But  we can move that capital to help buy BNSF Railroad or do all kinds of other things.  So we've got a seamless and tax-efficient way of moving capital where it's needed.  And we've got some companies that really chew up capital,  and we've got others that kick it off.  And we can move it from one part.  If you try to do that with your investments,  you incur some taxes as you go along doing it.  And it's less efficient than what we've got.  You talked a lot about the tax cuts and the benefits to Berkshire.  You didn't really get into the costs of the tax cut,  which surprised me a little bit.  What are the, are there costs?  I mean, is it just free money?  Well,  it makes a difference.  The tax cut we get,  for example, our utilities, as I mentioned in the report,  that goes to the customers.  That's just the nature of utility regulation.  But net,  we were a significant beneficiary from the tax cut.  I mean,  basically,  let's just say we had one class of stock.  We've got two.  But we have stock.  You and I own a business  together,  and we think we own all the stock.  But the truth is,  before the tax cut,  the government had a 35%  share of the stock  on income.  Now, it didn't have a share of the assets,  but it had a share of the income.  And if it wanted to change it to 40,  it could have changed it.  But fortunately, it changed it to 21.  And if we had a private business,  if we had a McDonald's franchise together,  an auto dealership together,  the third shareholder, that invisible shareholder, the governor,  just  handed us back a bunch of the shares of stock.  And our shareholders benefited,  and a lot of other shareholders benefited.  Right, you talked about Ajit Jain and Greg Abel  saying that Berkshire blood flows through their veins.  Have they made a difference since they become vice chairs?  And then, are they like Warren and Charlie? "
113,0:37:22,0:38:12,BUFFETT," No, they don't have the interaction.  They each run a separate  business.  Ajit does not think about the other businesses.  He thinks about the insurance business.  And Greg does not think about the insurance business at all.  And I think about the money and the capital and so on.  But they're running two very big businesses.  I mean, Ajit's business has,  you get all told,  at least a couple hundred billion of assets.  And Greg's business  has 150 billion of revenues.  I mean, these are,  they both would fit up there toward the top 10 or so in the country in  terms of value.  So maybe the top 15.  But they're very big businesses. "
114,0:38:13,0:38:15,SPEAKER 2," But they're not exactly like you two guys.  It's not.  Oh, no, no.   Charlie and I have a partnership thinking about the whole place,  and we've done it forever.  And we still do.  And Todd and Ted?  I didn't see them mentioned."
117,0:38:24,0:39:16,BUFFETT," Well, they have $13 billion each, including pension funds,  our pension funds,  that  they run.  And so of the $173 billion we had at year end in  equities,  they had,  well, we had $173, but we had another $8 billion in pension funds.  So of the $180 or so,  they had $26 between them that they're managing.  And they got total discretion on that.  They don't ask me.  At the month end,  I look and see what they did.  They don't do much.  They don't do a lot of trading or anything.  But I look to see what changes they made.  And Todd, for example, I mean,  he made a couple of  small investments in  private placement type operations.  And I know what the business is doing,  but I can't tell you their names. "
118,0:39:16,0:39:16,SPEAKER 2," You know,  that's his baby.  Was one of those,  you made this investment in Oracle,  and then you sold it.  Was that something they did? "
121,0:39:24,0:39:26,BUFFETT," No, that was not something they did.  That was something I did. "
122,0:39:26,0:39:29,SPEAKER 2," Yeah, and you said you didn't understand it.  That's why you sold it.  But then why'd you get it in the first place? "
123,0:39:30,0:39:41,BUFFETT," Yeah, well, that's a good question,  to which I do not have a good answer.  I know.  I see development.  I know enough about the cloud to know I don't  know enough about the cloud. "
