,Start,End,Speaker,Text
50,0:19:06,0:19:46,SPEAKER 6," This question comes from Ben Noll in Minneapolis.  He says he's a Berkshire shareholder of three decades and he's attended many Berkshire meetings.  He's here again this year.  And this is addressed to Ajit and Greg.  He says last year I asked you about how GEICO and BNSF appeared to lose ground to their leading competitors,  GEICO on telematics and BNSF on precision scheduled railroading.  Ajit, you responded by saying how you expected GEICO to make progress in a year or two.  Greg, you spoke about your pride in BNSF,  but you didn't directly address the threat of precision scheduled railroading.  Will each of you please provide perspective on these competitive challenges and our company's strategies to address them? "
51,0:19:46,0:20:19,SPEAKER 10," In  terms of GEICO and telematics,  let me make the observation that GEICO has certainly taken the bull by the horns and has made rapid strides in terms of trying to bridge the gap in terms of telematics and its competitors.  They have now reached a point where on all new business,  close to 90% has a telematics  input to the pricing decision. "
52,0:20:20,0:20:21,SPEAKER 1," Unfortunately,  less than half of that is being taken up by the policyholders.  The other point I want to make is even though we have made improvements  in terms of bridging the gap on telematics,  we still haven't started to realize the true benefit  and the real culprit or the bottleneck is technology.  GEICO's technology needs a lot more work than I thought it did.  It has more than 500,  actually more than 600 legacy systems that don't really talk to each other  and we are trying to compress them to no more than 15,  16 systems that all talk to each other.  That's a monumental challenge and because  of that, even though we have made improvements in telematics,  we still have a long way to go  because of technology.  Because of that and because of the whole issue more  broadly in terms of matching rate to risk,  GEICO is still a work in progress.  I don't know if any of you had a chance to look at the first quarter results,  but GEICO has had  a very good first quarter coming in at a combined ratio of 93 and change,  which means a margin  of six and change.  Even though that's very good,  it's not something we can take to the bank  because there are two unusual items that contributed to it.  Firstly,  we've had what is called prior year reserve releases.  We've reduced reserves for the previous years and  that contributed to it.  And secondly, every year, the first quarter tends to be a seasonally  good quarter for auto insurance  writers.  So if you adjust those two factors,  my guess is the end of the year,  GEICO will end up  with a combined ratio just south of 100 as opposed to the target they're shooting for is 96.  I hope they reach the target of 96 by the end of next year, but instead of getting too excited about it,  I think it's important to realize that even if we reach 96,  it will come at the expense of having lost policy holders.  There is a tradeoff between profitability and growth and clearly,  we're going to emphasize  profitability and not growth and that will come at the expense of policy holders.  So it will not be until two years from now that we'll be back on track  fighting the battles on both the profitability and growth front.  Garden?  Yep.   Moving to BNSF.  I'll start again by expressing great pride in the BNSF team.  We have an exceptional group of led by Katie and her managers that show up every day to do great work on the railroad.  At the same time,  they would be the first to acknowledge there's more to be done there.  The specific reference to precision scheduled railroading.  The other large railroad,  Class A railroads in the U.S.  follow that and including the two in Canada.  We're well aware of what they're doing and obviously pay close attention to their operating metrics.  Our team strives every day to be more efficient, obviously.  I would say we balance it with the needs of our customers.  If I look back to pre-2022,  so we look at the three-year period of 2019,  2020,  2021,  the BNSF team made significant progress on their efficiencies and delivering overall value back to the shareholders and to their customers.  And at the same time,  maintaining a very safe railroad for our employees.  So we're making excellent progress.  That didn't stop last year.  They made great progress again.  The reality in 2022 is we did go through a period of time where we had to  call it reset the railroad.  We came out of the pandemic.  There were the supply challenges.  We had certain other labor issues and other things going on at the port.  And the reality is our team prioritized getting the railroad back in place for the long term,  not a short-term focus on hitting certain operating metrics.  And in 2022, we're well aware of where we were relative to those metrics.  But the real focus was to get the railroad reset in a safe manner such that we could deliver long-term value and long-term service  to our customers.  And that's really what we'll continue to see with that team.  There'll be continual progress.  There'll be years where it's not as quickly or even we go backwards.  But over the long term,  we'll see exceptional results from that team and couldn't be more proud that we have that asset.  Thank you.  I would  just –  well, he deserves – both of them deserve applause.  I would like to add one thing.  The –  at GEICO, Todd Combs was the chief choice, my choice,  go back to GEICO to work on the problem of matching rate to risk, which is what insurance is all about.  And he arrived with exquisite timing right before the pandemic broke out and all kinds of things changed.  But "
53,0:25:52,0:26:03,BUFFETT," Todd is doing a wonderful job at GEICO,  and he works closely with the GEEP because he  still has a home in Omaha.  He comes back here and we get together on the weekend sometimes too.   So that's been a remarkable accomplishment under difficult circumstances.  And he's not all the way home, but he's made a very, very big change in multiple ways at GEICO.  And then one other thing I would like to mention, there have been a lot of public companies created in the last decade or thereabouts in insurance. And there's none of them that we would like to own, and they always started out in their perspective saying this is a tech company,  not an insurance company."
54,0:26:51,0:26:53,SPEAKER 5," Of course, we're – of course they're a tech company.   Everybody's – whether they're in insurance or a lot of other places – are using the facility,  but you still have to properly match rate to risk. And they invariably have reported the huge losses."
55,0:27:10,0:27:11,SPEAKER 3, They've eaten up capital.
56,0:27:12,0:27:14,SPEAKER 5, But there's been one company that nobody  has generally heard of.
57,0:27:16,0:27:17,BUFFETT," There's only been one that I know of,  a company started in the last 10 years that has been an overwhelming success, and that's a company that Ajeet and four  people who joined with him set to develop a new business."
58,0:27:33,0:27:35,SPEAKER 1, It's called Berkshire Hathaway Specialty.
59,0:27:36,0:27:40,BUFFETT," It now has – what's the float,  Ajeet?"
60,0:27:42,0:27:49,SPEAKER 1, Coming up to $12 billion.  Yeah.  We've built more float than probably all these companies combined.
61,0:27:50,0:27:52,BUFFETT," We've now –  it's cost us essentially nothing in terms of an underwriting loss.  The four people have turned  in, I don't know, $1,500 around the world.  We took on the whole industry, and we brought some unique talent, and the four people that came and now have, like I said, 1,500 or so worldwide.  And we brought capital, and we brought capabilities that really only Berkshire could supply.  So it was the combination of  brains and talent and energy and money.  And  no one has really successfully entered this space, only people in this space,  who didn't like us coming. And we did it without it."
62,0:28:46,0:28:54,SPEAKER 1," It's costing us a dime of entry,  and it's been unmatched by any of the companies that went public.  And people have seen us do it, but they can't duplicate it.  And that's what Ajeet has created. And Peter Eastwood has led this group, Berkshire Hathaway Specialty.  And it's just remarkable.  So anyway, with that,  let's go on.  Give him a hand for that.  OK, let's go to section two. "
63,0:29:29,0:29:34,SPEAKER 2," Hi, Charlie.  I'm Elwarren.  I'm Karen here from Singapore. "
64,0:29:34,0:29:40,SPEAKER 1, I'm glad you got that in.  Your priorities are right.
65,0:29:40,0:30:07,SPEAKER 2," Yes, I have a question on AI and robotics.  Here's my question.  As AI and robotics continue to advance,  what do you believe will be the positive and the negative impact  of this technology on both the stocks market and society as a whole?  And are there any specific industrials and companies  that you believe will be most impacted? "
66,0:30:12,0:30:25,SPEAKER 1," Karen, I thank you for asking Charlie that question.  Well,  if you went into BYD's factories in China,  you would see robotics going in at an unbelievable rate.  So we're going to see a lot more robotics in the world.  I am personally skeptical of some of the hype that has gone into artificial intelligence.  I think old-fashioned intelligence works pretty well."
67,0:30:53,0:31:05,SPEAKER 5, There won't be anything in AI that replaces Ajeet.
68,0:31:06,0:31:07,SPEAKER 3," I'll  state that unqualifiedly.  It can do amazing things.  Bill Gates brought me out the latest,  maybe not the latest version, but one he thought maybe I could handle,  which has to be careful with me in terms of leading me too fast.  And it did these remarkable things."
69,0:31:33,0:31:36,BUFFETT," It didn't, but it couldn't tell jokes.   Bill told me that ahead of time and it prepared me.  And it just isn't there."
70,0:31:42,0:31:49,SPEAKER 3," But,  you know, things like  checking all the legal opinions, you know,  since the beginning of time and everything,  and eliminating all the side..."
71,0:31:52,0:32:07,SPEAKER 5," I mean, it can do all kinds of things.  And when something can do all kinds of things,  I get a little bit worried.  And because I know we won't be able to uninvent it.  And, you know,  we did invent for very, very good reason, the atom bomb  in World War II.  And it was,  you know, it was enormously important that we did so."
72,0:32:23,0:32:27,SPEAKER 1, But  is it good for the next 200 years of the world that  the ability to do so has been unleashed?  We didn't have any choice.
73,0:32:33,0:32:38,BUFFETT," But when  you start something...   Well, Einstein said after the atom bomb,  he said, this is change everything in the world except how men think.  And I would say the same thing may..."
74,0:32:50,0:32:51,SPEAKER 3," Not the same thing,  I don't mean that, but I mean, with AI, it can change everything in the world except how men think and behave.  And that's a big step to take."
75,0:33:07,0:33:09,SPEAKER 1, It's a good question.  And it's the best answer we can give.  Becky?
76,0:33:13,0:33:47,SPEAKER 6," This question comes from Tom Seymour.  He says the first sentence of a recent Financial Times article read,  Charlie Munger has warned of a brewing storm in the U.S.  commercial property market with American banks full of what he said were bad loans as property prices fall.  Please elaborate on what's going on in commercial real estate.  How bad will the losses be and what sectors or geographies look particularly bad?  I'll just add an addendum from another viewer who wrote in and wanted to know if Berkshire would be more active in commercial real estate as a result. "
77,0:33:47,0:33:57,SPEAKER 7," Well, Berkshire's never been very active in commercial real estate. "
78,0:33:58,0:33:58,SPEAKER 1," It  works better for taxable investors than it does for  corporations taxed the way Berkshire is.  So I don't anticipate huge  effects on Berkshire.  But I do think that the hollowing out of the downtowns  in the United States and elsewhere in the world is going to be quite significant and quite unpleasant.  I think the country will get through it all right.  But as they say,  it will often involve a different set of owners. And the buildings don't go away."
79,0:34:34,0:34:35,SPEAKER 7, The owners do.
80,0:34:36,0:34:52,SPEAKER 1," Well,  but most people like to buy with non-recourse in real estate.  And one time I asked Charlie,  there was some real estate guy we were talking to,  and how do they decide how much a building like this is worth?  And the answer is, it's whatever they can borrow without signing their name. And if you look at real estate generally, you'll understand what the phenomenon that's happening if you remind yourself that that's  the attitude of most people that have become big in the real estate business. And it does mean that the lenders are the ones that get the property.  And of course, they don't want the property usually.  So then the real estate operator comes on negotiating with them and  the banks tend to  extend and pretend. And there's all kinds of activities that arrive out of commercial real estate development, which occurs on a big scale.  But it all has consequences.  And I think we're about, well, we are starting to see the consequences of people who could borrow at  2.5% and  find out it doesn't work at current rates.  And they hand it back to somebody that gave them all the money they needed to build it.  Charlie's had more experience in real estate.  Charlie got it started in real estate,  though. "
81,0:36:10,0:36:12,SPEAKER 3," I mean, Charlie.  Yes,  it's difficult.  I like what we do better."
82,0:36:21,0:36:34,SPEAKER 1," Well,  Charlie once said to me when I was leaving his house a  few months ago, I was visiting him.  We talked for a couple of hours.  And I said to Charlie as I left, I just  wasn't anybody else in the house, except  one daughter. And I said, Charlie, I'll just keep  doing what we've been doing. And Charlie said,  without looking up or pausing a second,  he said, that's all you know how to do, Warren.  Yeah.  He was right, too.  Station three, is it?  Hi, my name is Dallas Z.  I'm from Santa Clara,  California.  And my question is to Charlie and Warren.  Given the rise of disruptive technologies that can improve productivity significantly,  and AI being one of them,  how do you envision the future of value investing in this new era?  And what adaptations or new principles do you think investors should adopt?  And any recommendations for investors to remain successful in this rapid changing landscape?  Thank you."
83,0:37:36,0:37:54,SPEAKER 5," Well, I'm glad to take that one.  I think value investors are going to have a harder time now that there's so  many of them competing for  a diminished bunch of opportunities.  So my advice to value investors is to get used to making less.  And Charlie has been telling me the same thing the whole time we've known each other.  We get along wonderfully because we are making less.  Yeah, well, but that's because that mostly I think is because it's larger.  We never thought we could manage 508 billion.  No.  Or one or five.  But I would argue that there's going to be plenty of opportunities. And part of the reason there are going to be plenty of opportunities, the tech doesn't make any difference or any of that.  I mean, if you look at how the world's changed in the years  since 1942 when I started, you'd say, well,  how does a kid that doesn't know anything about airplanes,  that doesn't know anything about engines and cars, and doesn't know anything about electricity and all that."
84,0:38:48,0:38:48,BUFFETT," But  that really isn't the,  that's not the, the world changing doesn't,  or new things coming along don't take away the opportunities.  What gives you opportunities is other people doing dumb things. And I would say that while the 58 years we've been running Berkshire,  I would say there's been a great increase in the number of people doing dumb things and they do big dumb things.  And the reason they do it to some extent is because they can get money from other people so much easier than when we started.  So you could start  10 or 15 dumb insurance companies in the last 10 years and you could become rich."
85,0:39:39,0:39:41,SPEAKER 1," If you were a droid at it,  whether the business succeeded or not,  and the underwriters got paid and the lawyers got paid. And that creates, if that's done on a large scale, which it couldn't be done, what, 58 years ago, you couldn't get the money to do some of the dumb things that we wanted to do, fortunately. And so I think that investing has disappeared so  much from this huge capitalistic market that anybody can play in,  but that the big money is in selling other people ideas.  It isn't outperforming,  in outperforming.  And I think that, I think if you don't run too much money, which we do, but if you're running small amounts of money, I think, I think the opportunities will be greater.  But then Charlie and I were always different on this subject.   He likes to tell me how gloomy the world is.  And I like to tell him, we'll find something.  And so far, we've both been kind of right."
86,0:40:52,0:40:53,SPEAKER 3," Charlie, would you  budge an inch on that or not?"
87,0:41:20,0:41:20,SPEAKER 1,"There is so much money now in the hands of  so many smart people,  all trying to outsmart one another and outpromote one another,  getting more money out of other people.  And it's a  radically different world from the world we started in. And"
88,0:41:21,0:41:27,SPEAKER 7," I suppose it will have its opportunities, but  it's also going to have some unpleasant episodes. "
89,0:41:27,0:41:32,SPEAKER 1," But they're trying to outsmart each other in arenas  that you don't have to play.  I mean,  if you look at that government bond market, the Treasury bill market, I mean, you've got this one bill that's out of line with the others.  We went over $3 billion of it the other day.  And,  but those are people, the world is overwhelmingly short term focused. And if you go to an investor relations call,  they're all trying to figure out  how to fill out a sheet to show the earnings for the year.  And the management is interested in feeding them expectations that will slightly be beaten."
90,0:42:07,0:42:16,BUFFETT," I mean,  that  is a world that's made to order for  anybody that's trying to think about what you do that should work over five or 10 or 20 years.  And I just think that I would love to be born today and go out with not too much money and hopefully turn it into a lot of money."
91,0:42:29,0:42:29,SPEAKER 1," But,  and Charlie would too, actually, just like he would  find something to do, I will just guarantee you.  And it wouldn't be exactly the same as before, but he would have a big,  big, big pile."
92,0:42:44,0:42:54,SPEAKER 7, I would not like the thrill of losing my big pile into a small pile.  I like my big pile just the way it is.
93,0:42:54,0:42:59,SPEAKER 1," Well, I like,  we agree on that incidentally.  Yes, we do. "
94,0:43:00,0:43:03,SPEAKER 7, You're one of the most extreme lovers of the big pile.
95,0:43:03,0:43:05,SPEAKER 1, Becky.
96,0:43:07,0:43:32,SPEAKER 6," This question is for both Warren and Ajit.  It comes from Jason Planer in Livingston, New Jersey.  He says in 2016,  you entered into a very unique transaction with AIG,  where you assumed up to $20 billion of liabilities in exchange for about $10 billion up front.  Can you please provide us with an update on this transaction in light of the increase in interest rates?  And then in Tokyo,  just a few weeks ago,  you said that you were going to do a little bit of a research on the stock market."
97,0:43:33,0:43:33,SPEAKER 2," A few weeks ago,  you talked about the risks of banks with assets that were susceptible to rising interest rates.  Any insight as to how Berkshire liabilities are susceptible to duration would be appreciated."
98,0:43:44,0:43:46,SPEAKER 1, Is that directed to Ajit or me or what?  Both.
99,0:43:47,0:43:49,SPEAKER 5," Okay, let me introduce one thing, and well,  but Ajit is the key to this.  He's the one that put the deal together. "
100,0:43:53,0:43:55,SPEAKER 1," But we got handed $10 billion,  we'll say. "
101,0:43:56,0:44:04,SPEAKER 2, But we weren't restricted to putting that into bonds.
102,0:44:05,0:44:11,BUFFETT," So what the exact  interest rates affect us to some degree,  maybe, in terms of the deal we did with AIG or  anybody we would do a similar deal with like that.  But we don't have to put it in matching bonds or anything of the sort.  It goes into a general pool of assets, which we manage, and the assets, well, the liquid assets now are $130 billion plus."
103,0:44:34,0:44:35,SPEAKER 3," But it goes in,  so it is not set aside in some little compartment like people like to think."
104,0:44:42,0:45:00,SPEAKER 1," Now,  no other insurance company could do it,  but  they can't think that way.  They aren't even used to thinking that way,  but they can't think that way because they don't have our balance sheet.  We account for 26% or something like that of the net worth of all property casualty companies in the United States.   So,  so far, the payment that we have had to make have run modestly, and Ajit will correct me on this if I'm wrong, because he paid a lot of attention."
105,0:45:16,0:45:27,SPEAKER 2, The amount we have had to pay has run slightly below the amount we anticipated having to pay in terms of our share of the losses.
106,0:45:28,0:45:31,SPEAKER 1, But  it served AIG's purposes.
107,0:45:33,0:45:34,BUFFETT," It came to us with,  we're in a unique position.  There's nobody else that was  able to write that,  just like when we took on the Lloyds."
108,0:45:44,0:45:49,SPEAKER 1," I mean, Lloyds said there was no choice other than Berkshire Hathaway when they  essentially resuscitated their market by laying off a lot of liabilities on Berkshire Hathaway.  So we won't see those deals very often.  If they're for $500 million or something like that, somebody else will go in there and offer more money, and everybody's looking for money in Wall Street.  But  if they start talking with a deal like the AIG deal, there isn't any other stop.  Now,  correct me on all my numbers there, Ajit."
109,0:46:23,0:47:47,SPEAKER 10," No, one way to look at how the deal is  performing since we did the deal is,  at the point in  time when we did the deal,  we had made certain projections of  how much we will pay out each year.  And what we do is monitor what the actual payments are since the inception of  the deal, and how does that compare with what we expected to pay out.  As Warren mentioned,  these two numbers are very close to each other.  More specifically,  the actual payouts are  96% of what we had projected to pay out at this point in time,  which is good but not great.  We are still ahead of the curve.  If we do end up paying out less than what we projected,  not only would we have borrowed money at a very attractive rate,  meaning less than 4%, significantly less than 4%,  in addition to that,  we would have made a fee,  which in 2015 dollars would be a million dollars.  So we would have borrowed money at less than  4%, and we would have made a million dollar fee,  which is  slightly more than what we were expecting to do.  So net-net,  we are very happy with the deal.  We are happy we did it,  but the game is not over.  There are total liabilities that are coming down the pike every second day.  So I'm cautiously optimistic that the deal will work out  better than what we expected it to work out. "
110,0:47:47,0:48:04,SPEAKER 5," Well, the really interesting thing is that  within Berkshire, the casualty insurance companies have four times as much stockholder capital  behind each dollar of premium volume.  Four times  normal. And of course we see the big deals.  Who would you trust if you had a big liability you wanted to dump on somebody? And we have $25 billion or more coming in from things other than insurance, uncorrelated to insurance, every year with no obligations."
111,0:48:29,0:48:30,SPEAKER 3," We don't pay dividends.   If you paid dividends and  you cut your dividend,  try going around trying to write insurance the next day.  I mean, it's a business where the people are counting on you to pay.  And when we take that $10 billion, we don't agree to put it in five-year bonds and 10-year bonds."
112,0:48:48,0:48:49,SPEAKER 5, We don't even think that way.  And the people that do business with us know that they have somebody like nobody else on those
